seed,avg_sicurezza,avg_biglietteria,avg_controlli,avg_mario_std,avg_mario_exp,avg_hp_std,avg_hp_exp
1420758059,623.9169,1379.5689,251.3314,6498.3127,114.0963,2945.5119,174.7789
1916956539,658.4309,1505.6216,229.1857,6910.4991,83.9560,2816.8645,262.1890
655455821,602.1835,1100.6752,349.5986,6594.7534,40.2787,2698.5743,151.1383
220230179,575.0897,1340.7618,292.3677,6829.6593,76.0712,2733.2676,122.5424
787272084,621.3564,1391.1289,312.7175,6462.4315,109.4109,2836.6025,194.3153
1700215371,657.0456,1103.1204,372.8862,6638.2639,51.0922,2738.2918,267.8267
364781188,545.6160,1314.4115,304.8370,6890.2929,142.8942,2788.5495,384.4305
815013099,597.2329,1205.2549,331.8904,6993.4245,126.1359,2890.6479,294.4591
322255065,706.6255,1249.9105,323.1637,7068.7263,62.3856,2472.5615,92.7674
820115771,665.7458,1453.3249,251.3064,6609.8501,162.9088,2647.4293,82.9682
2082754979,612.5549,1211.3741,280.0377,6868.3892,128.0671,2576.7737,140.7285
1048405689,577.1955,1411.8065,271.0926,6612.7769,49.7065,2810.7035,291.7577
103341992,665.2670,1272.4336,262.7741,6568.3453,88.4651,2593.0109,247.7881
1052815046,658.5512,1299.3261,296.6820,7027.0787,86.7995,2698.4329,204.5186
609240574,590.1126,1098.1255,353.4743,6726.6804,70.6317,2680.7015,87.0420
139833889,612.9997,1412.9171,412.8567,6998.6521,63.8016,2684.8712,179.6470
1425379707,589.6599,1470.0450,384.9091,6704.5390,82.5638,2754.9522,224.4726
2101060105,658.2374,1376.5866,378.1442,6993.2502,49.5611,2858.5108,177.3742
1025442632,535.3961,1281.5541,329.7576,6841.5227,112.7194,2653.6504,96.6859
1375532243,570.4329,1394.5176,258.0611,6660.9901,57.9388,2566.3699,304.8037
1386300494,613.4899,1312.4785,261.4740,7137.4978,276.7015,2616.0902,273.5206
989982507,632.4749,1584.3077,238.5363,6748.4684,87.2925,2834.5831,172.8746
1567685288,587.1293,1398.6095,259.0519,6601.5346,66.4509,2608.8005,174.5908
923243232,605.4314,1390.4077,287.9785,6965.2123,363.5792,2583.7834,253.0229
1878555311,638.2968,1464.8392,302.6306,6852.4022,82.6616,2623.9303,90.4116
1402507340,622.0070,1402.9347,197.5741,6973.9169,183.9938,2699.5092,339.8960
1891518220,630.2883,1261.6926,347.5915,6421.6482,85.2575,2666.8985,161.0733
1611961461,678.3026,1269.7916,345.6638,6942.9781,69.9531,2606.8122,135.8697
151431259,547.7032,1248.1620,327.0697,7035.0157,120.2958,2669.3074,86.7597
1173318510,595.0876,1315.4892,295.6851,6592.6431,74.1311,2938.2468,160.3674
1654778776,614.9645,1365.8437,284.1226,6977.6783,79.1411,3052.4230,604.7498
684745815,526.9803,1191.2211,311.5846,6585.1664,108.0061,2610.5431,404.7745
514964491,530.5888,1230.1371,293.4623,6345.4291,118.3156,2724.7633,320.6421
1599593921,603.6933,1295.3088,311.1228,7209.5863,104.5081,2665.9445,299.8187
708624428,577.6580,1479.6981,289.4397,7152.6341,153.9736,2803.2043,312.2537
803667933,569.4100,1330.2891,263.3710,6422.3598,78.3257,2666.8283,342.4168
1588621612,606.4115,1292.5126,273.9373,6813.5733,114.4494,2658.3114,108.3391
68093531,585.8958,1178.4233,270.6031,6894.8211,64.5775,2653.6842,265.3776
874313519,576.7283,1266.1253,257.3739,6787.6772,98.6623,2824.9545,116.1901
1731232113,604.6101,1240.0800,331.7599,6849.9607,146.6591,2728.3998,141.2734
1741741013,617.7824,1247.6795,313.6093,6817.0322,90.5625,2815.0801,114.6840
58457223,610.6724,1434.2141,323.7771,7004.1200,172.0162,2558.6633,66.1101
181379118,654.1409,1343.1711,275.8097,6941.9972,61.9399,2520.8425,101.0863
1186334992,514.1571,1422.4612,228.4082,6781.6859,119.8416,2581.9497,211.2536
671961954,668.0022,1466.5056,303.9097,6720.0273,147.0112,2806.6556,223.0851
1719016193,680.8005,1291.1962,285.3851,6797.6074,105.8232,2787.0757,106.8724
448258152,592.4914,1344.3227,322.7758,6470.0319,46.8083,2703.8050,260.3692
45064418,598.5674,1273.1238,345.8219,6913.7284,161.7187,2605.9873,104.8575
608993296,549.5239,1326.5012,266.0449,6668.7648,133.5213,2710.4883,130.9802
814321908,595.9973,1383.8172,224.0178,6905.9171,101.2630,2568.2120,101.9287
219572373,599.9932,1347.3110,274.8363,7024.1900,127.4409,2520.5824,68.4098
